nid,sid,label
MLS002245222-01,85199966,medium
MLS002245176-01,85199801,medium
MLS002245216-01,85199961,medium
MLS002245166-01,85199792,medium
MLS002245215-01,85199960,medium
MLS002245182-01,85199807,medium
MLS002245138-01,85199768,medium
MLS002245154-01,85199782,medium
MLS002252661-01,85198666,low
MLS002252629-01,85198641,low
MLS002244772-01,85201906,medium
MLS002245213-01,85199958,medium
MLS002245179-01,85199804,medium
MLS002245199-01,85199947,medium
MLS002245187-01,85199812,medium
MLS002245169-01,85199795,medium
MLS002244771-01,85201905,medium
MLS002249265-01,85200199,low
MLS002249231-01,85200183,medium
MLS002249315-01,85200224,medium
MLS002245144-01,85199773,medium
MLS002245229-01,85199972,medium
MLS002249074-01,85199907,medium
MLS002249094-01,85199923,medium
MLS002249250-01,85200192,medium
MLS002249258-01,85200195,medium
MLS002249237-01,85200187,medium
MLS002245191-01,85199816,low
MLS002245165-01,85199791,low
MLS002249078-01,85199909,medium
MLS002249052-01,85199891,medium
MLS002249082-01,85199913,medium
MLS002249317-01,85200225,medium
MLS002249271-01,85200204,medium
MLS002249306-01,85200219,medium
MLS002245197-01,85199945,medium
MLS002249093-01,85199922,medium
MLS002249110-01,85199938,medium
MLS002249066-01,85199901,high
MLS002249047-01,85199886,medium
MLS002249264-01,85200198,medium
MLS002249270-01,85200203,medium
MLS002249252-01,85200193,low
MLS002245185-01,85199810,medium
MLS002249100-01,85199929,medium
MLS002249117-01,85200003,medium
MLS002249112-01,85200002,medium
MLS002249046-01,85199885,medium
MLS002249229-01,85200181,medium
MLS002249225-01,85200179,medium
MLS002249308-01,85200220,medium
MLS002245171-01,85199797,medium
MLS002249104-01,85199933,low
MLS002249041-01,85199881,medium
MLS002245186-01,85199811,medium
MLS002245203-01,85199951,medium
MLS002249266-01,85200200,medium
MLS002249268-01,85200202,low
MLS002249277-01,85200209,medium
MLS002249083-01,85199914,medium
MLS002245201-01,85199949,medium
MLS002245175-01,85199800,medium
MLS002249319-01,85200227,medium
MLS002245148-01,85199776,high
MLS002245230-01,85199973,medium
MLS002245153-01,85199781,medium
MLS002245142-01,85199771,medium
MLS002249122-01,85200008,medium
MLS002245140-01,85199770,medium
MLS002249318-01,85200226,low
MLS002249295-01,85200214,medium
MLS002245184-01,85199809,medium
MLS002245224-01,85199968,medium
MLS002245149-01,85199777,medium
MLS002245146-01,85199775,medium
MLS002245200-01,85199948,medium
MLS002249241-01,85200188,medium
MLS002245192-01,85199817,medium
MLS002245225-01,85199969,low
MLS002245151-01,85199779,medium
MLS002252864-01,85198930,medium
MLS002252894-01,85198953,medium
MLS002244817-01,85201916,medium
MLS002252868-01,85198933,medium
MLS002252853-01,85198921,medium
MLS002252887-01,85198947,medium
MLS002252824-01,85198896,medium
MLS002252882-01,85198943,medium
MLS002252823-01,85198895,medium
MLS002252815-01,85198889,medium
MLS002248818-01,85199465,medium
MLS002252885-01,85198946,medium
MLS002252854-01,85198922,medium
MLS002252884-01,85198945,medium
MLS002252899-01,85199000,medium
MLS002252822-01,85198894,medium
MLS002252666-01,85198671,medium
MLS002252521-01,85198510,low
MLS002248727-01,85199312,medium
MLS002252610-01,85198625,medium
MLS002246499-01,85268419,high
MLS002245659-01,85271732,high
MLS002248507-01,85269037,medium
MLS002179778-01,74373727,medium
MLS002182488-01,74373897,high
MLS002182253-01,74373874,medium
MLS002246064-01,85268158,medium
MLS002246453-01,85268380,medium
MLS002246509-01,85268429,medium
MLS002252547-01,85198528,low
MLS002252530-01,85198518,medium
MLS002252578-01,85198604,low
